Faculty Name,Affiliation
A V Subramanyam,IIIT-Delhi
Aasim Khan,IIIT-Delhi
Abhijit Mitra,IIIT-Delhi
Anand Srivastava,IIIT-Delhi
Angshul Majumdar,IIIT-Delhi
Anmol Srivastava,IIIT-Delhi
Anubha Gupta,IIIT-Delhi
Anuj Grover,IIIT-Delhi
Anuradha Sharma,IIIT-Delhi
Arani Bhattacharya,IIIT-Delhi
Arjun Ray,IIIT-Delhi
Arun Balaji Buduru,IIIT-Delhi
Ashish Kumar Pandey,IIIT-Delhi
Bapi Chatterjee,IIIT-Delhi
Chanekar Prasad Vilas,IIIT-Delhi
Debajyoti Bera,IIIT-Delhi
Debarka Sengupta,IIIT-Delhi
Debidas Kundu,IIIT-Delhi
Debika Banerjee,IIIT-Delhi
Deepak Prince,IIIT-Delhi
Dhruv Kumar,IIIT-Delhi
Diptapriyo Majumdar,IIIT-Delhi
G.P.S. Raghava,IIIT-Delhi
Ganesh Bagler,IIIT-Delhi
Gaurav Ahuja,IIIT-Delhi
Gaurav Arora,IIIT-Delhi
Gautam Shroff,IIIT-Delhi
Gayatri Nair,IIIT-Delhi
J. V. Meenakshi,IIIT-Delhi
Jainendra Shukla,IIIT-Delhi
Jaspreet Kaur Dhanjal,IIIT-Delhi
Kalpana Shankhwar,IIIT-Delhi
Kaushik Kalyanaraman,IIIT-Delhi
Kiriti Kanjilal,IIIT-Delhi
Koteswar Rao Jerripothula,IIIT-Delhi
Manohar Kumar,IIIT-Delhi
Manuj Mukherjee,IIIT-Delhi
Md. Shad Akhtar,IIIT-Delhi
Monika Arora,IIIT-Delhi
Mrinmoy Chakrabarty,IIIT-Delhi
Mukesh Mohania,IIIT-Delhi
Mukulika Maity,IIIT-Delhi
N. Arul Murugan,IIIT-Delhi
Nabanita Ray,IIIT-Delhi
Nikhil Gupta,IIIT-Delhi
Nishad Patnaik,IIIT-Delhi
Ojaswa Sharma,IIIT-Delhi
Pankaj Jalote,IIIT-Delhi
Paro Mishra,IIIT-Delhi
Piyus Kedia,IIIT-Delhi
Pragma Kar,IIIT-Delhi
Pragya Kosta,IIIT-Delhi
Prahllad Deb,IIIT-Delhi
Praveen Priyadarshi,IIIT-Delhi
Pravesh Biyani,IIIT-Delhi
Pushpendra Singh,IIIT-Delhi
Rajiv Raman,IIIT-Delhi
Rajiv Ratn Shah,IIIT-Delhi
Ram Krishna Ghosh,IIIT-Delhi
Ranjan Bose,IIIT-Delhi
Ranjitha Prasad,IIIT-Delhi
Ravi Anand,IIIT-Delhi
Richa Gupta,IIIT-Delhi
Rinku Shah,IIIT-Delhi
Ruhi Sonal,IIIT-Delhi
Saket Anand,IIIT-Delhi
Sambuddho,IIIT-Delhi
Sanat K Biswas,IIIT-Delhi
Sanjit Krishnan Kaul,IIIT-Delhi
Sankha S Basu,IIIT-Delhi
Sarthok Sircar,IIIT-Delhi
Satish Kumar Pandey,IIIT-Delhi
Sayak Bhattacharya,IIIT-Delhi
Sayan Basu Roy,IIIT-Delhi
Shamik Sarkar,IIIT-Delhi
Shobha Sundar Ram,IIIT-Delhi
Smriti Singh,IIIT-Delhi
Sneh Saurabh,IIIT-Delhi
Sneha Chaubey,IIIT-Delhi
Soibam Haripriya,IIIT-Delhi
Sonal Keshwani,IIIT-Delhi
Sonia Baloni Ray,IIIT-Delhi
Souvik Dutta,IIIT-Delhi
Sriram K,IIIT-Delhi
Subhashree Mohapatra,IIIT-Delhi
Sujay Deb,IIIT-Delhi
Sumit J Darak,IIIT-Delhi
Supratim Shit,IIIT-Delhi
Syamantak Das,IIIT-Delhi
Tammam Tillo,IIIT-Delhi
Tanmoy Kundu,IIIT-Delhi
Tarini Shankar Ghosh,IIIT-Delhi
Tavpritesh Sethi,IIIT-Delhi
V. Raghava Mutharaju,IIIT-Delhi
Venkata Ratnadeep Suri,IIIT-Delhi
Vibhor Kumar,IIIT-Delhi
Vikram Goyal,IIIT-Delhi
Vinayak Abrol,IIIT-Delhi
Vivek Ashok Bohara,IIIT-Delhi
Vivek Kumar,IIIT-Delhi
